"slidemap","matrix","x","y","positive_tumor_cells","staining_intensity","spot_quality","sample_predect","abcode","pic","positive_tumor_cells_new"
"pko.hbn.1a.40",36,8,2,"5-15%","Strong (+++)","null","WP1_14.TPKo",40,"75_36_8_2_3618.jpg","5-15%"
"pko.hbn.1a.40",36,8,3,"16-30%","Moderate (++)","null","WP1_24.TPKo",40,"75_36_8_3_3600.jpg","16-39%"
"pko.hbn.1a.40",36,8,4,">0% and <5%","Strong (+++)","null","WP1_34.TPKo",40,"75_36_8_4_3581.jpg","0-5%"
"pko.hbn.1a.40",36,8,5,">30%","Moderate (++)","null","WP1_43.TPKo",40,"75_36_8_5_3564.jpg","40-69%"
"pko.hbn.1a.40",36,8,8,"16-30%","Moderate (++)","null","WP1_62.TPKo",40,"75_36_8_8_3531.jpg","16-39%"
"pko.hbn.1a.40",36,9,1,">30%","Strong (+++)","null","WP1_5.TPKo",40,"75_36_9_1_3636.jpg","40-69%"
"pko.hbn.1a.40",36,9,11,"5-15%","Strong (+++)","null","WP1_91.TPKo",40,"75_36_9_11_3483.jpg","5-15%"
"pko.hbn.1a.40",36,9,12,"16-30%","Moderate (++)","null","WP1_101.TPKo",40,"75_36_9_12_3464.jpg","16-39%"
"pko.hbn.1a.40",36,9,13,"5-15%","Strong (+++)","null","WP1_110.TPKo",40,"75_36_9_13_3439.jpg","5-15%"
"pko.hbn.1a.40",36,9,2,">30%","Moderate (++)","null","WP1_15.TPKo",40,"75_36_9_2_3619.jpg","40-69%"
"pko.hbn.1a.40",36,9,4,"5-15%","Strong (+++)","null","WP1_34.TPKo",40,"75_36_9_4_3582.jpg","5-15%"
"pko.hbn.1a.40",36,9,5,">0% and <5%","Moderate (++)","null","WP1_44.TPKo",40,"75_36_9_5_10559.jpg","0-5%"
"pko.hbn.1a.40",36,9,8,"5-15%","Strong (+++)","null","WP1_63.TPKo",40,"75_36_9_8_3533.jpg","5-15%"
"pko.hbn.1a.65",36,1,1,">0% and <5%","Strong (+++)","null","WP1_1.TPKo",65,"32_36_1_1_4345.jpg","0-5%"
"pko.hbn.1a.65",36,1,11,"5-15%","Strong (+++)","null","WP1_87.TPKo",65,"32_36_1_11_4215.jpg","5-15%"
"pko.hbn.1a.65",36,1,12,">0% and <5%","Strong (+++)","null","WP1_97.TPKo",65,"32_36_1_12_4202.jpg","0-5%"
"pko.hbn.1a.65",36,1,13,"0%","Neg (-)","null","WP1_106.TPKo",65,"32_36_1_13_4186.jpg","0%"
"pko.hbn.1a.65",36,1,2,">0% and <5%","Strong (+++)","null","WP1_11.TPKo",65,"32_36_1_2_4333.jpg","0-5%"
"pko.hbn.1a.65",36,1,5,"0%","Neg (-)","null","WP1_40.TPKo",65,"32_36_1_5_4283.jpg","0%"
"pko.hbn.1a.65",36,1,6,">0% and <5%","Moderate (++)","null","WP1_49.TPKo",65,"32_36_1_6_4267.jpg","0-5%"
"pko.hbn.1a.65",36,1,9,"5-15%","Moderate (++)","null","WP1_68.TPKo",65,"32_36_1_9_4243.jpg","5-15%"
"pko.hbn.1a.65",36,10,1,">0% and <5%","Strong (+++)","null","WP1_5.TPKo",65,"32_36_10_1_4343.jpg","0-5%"
"pko.hbn.1a.65",36,10,10,">30%","Weak (+)","null","WP1_82.TPKo",65,"32_36_10_10_4365.jpg","40-69%"
"pko.hbn.1a.65",36,10,12,">0% and <5%","Strong (+++)","null","WP1_101.TPKo",65,"32_36_10_12_4194.jpg","0-5%"
"pko.hbn.1a.65",36,10,13,">0% and <5%","Strong (+++)","null","WP1_111.TPKo",65,"32_36_10_13_4175.jpg","0-5%"
"pko.hbn.1a.65",36,10,2,"5-15%","Moderate (++)","null","WP1_15.TPKo",65,"32_36_10_2_4325.jpg","5-15%"
"pko.hbn.1a.65",36,10,3,"16-30%","Moderate (++)","null","WP1_25.TPKo",65,"32_36_10_3_4308.jpg","16-39%"
"pko.hbn.1a.65",36,10,4,">0% and <5%","Strong (+++)","null","WP1_35.TPKo",65,"32_36_10_4_4292.jpg","0-5%"
"pko.hbn.1a.65",36,10,5,">30%","Weak (+)","null","WP1_44.TPKo",65,"32_36_10_5_4275.jpg","40-69%"
"pko.hbn.1a.65",36,10,6,">0% and <5%","Moderate (++)","null","WP1_54.TPKo",65,"32_36_10_6_10565.jpg","0-5%"
"pko.hbn.1a.65",36,10,8,"5-15%","Strong (+++)","null","WP1_63.TPKo",65,"32_36_10_8_4368.jpg","5-15%"
"pko.hbn.1a.65",36,10,9,"16-30%","Moderate (++)","null","WP1_73.TPKo",65,"32_36_10_9_4239.jpg","16-39%"
"pko.hbn.1a.65",36,11,10,">0% and <5%","Strong (+++)","null","WP1_83.TPKo",65,"32_36_11_10_4223.jpg","0-5%"
"pko.hbn.1a.65",36,11,12,">0% and <5%","Strong (+++)","null","WP1_102.TPKo",65,"32_36_11_12_4195.jpg","0-5%"
